time_s,cpu,s_on,br,net_kbps,temp_c
0,0.6971,1,20,119.06,31.5
1,0.5729,1,20,1268.76,31.5
2,0.5928,1,20,3216.86,31.4
3,0.3665,1,20,2051.26,31.4
4,0.3599,1,20,2044.08,31.4
5,0.3666,1,20,2168.0,31.5
6,0.3239,1,20,2108.68,31.5
7,0.3407,1,20,2060.59,31.4
8,0.348,1,20,1866.32,31.4
9,0.3448,1,20,2396.8,31.4
10,0.3832,1,20,1528.91,31.5
11,0.3341,1,20,24.1,31.5
12,0.4124,1,20,1708.18,31.5
13,0.3732,1,20,1288.56,31.5
14,0.4184,1,20,2628.72,31.5
15,0.4298,1,20,926.02,31.5
16,0.5185,1,20,974.01,31.5
17,0.4921,1,20,905.94,31.5
18,0.3593,1,20,1468.63,31.5
19,0.4631,1,20,1688.65,31.5
20,0.393,1,20,1711.51,31.5
21,0.4213,1,20,3539.76,31.5
22,0.4553,1,20,1329.18,31.5
23,0.3839,1,20,753.36,31.5
24,0.4028,1,20,1544.19,31.5
25,0.4196,1,20,2498.31,31.5
26,0.4451,1,20,2335.46,31.6
27,0.358,1,20,1770.0,31.6
28,0.4007,1,20,2273.99,31.6
29,0.4555,1,20,2673.0,31.6
30,0.4084,1,20,3339.73,31.6
31,0.3958,1,20,2974.17,31.6
32,0.427,1,20,3820.56,31.5
33,0.4069,1,20,3302.01,31.5
34,0.4793,1,20,3494.87,31.5
35,0.3923,1,20,2606.88,31.4
36,0.3733,1,20,2523.09,31.4
37,0.3158,1,20,1792.62,31.5
38,0.3674,1,20,2335.9,31.5
39,0.3586,1,20,2221.81,31.5
40,0.3647,1,20,2397.2,31.5
41,0.3823,1,20,3351.42,31.5
42,0.3593,1,20,1862.17,31.5
43,0.3569,1,20,2366.86,31.4
44,0.3749,1,20,3984.34,31.4
45,0.365,1,20,1935.07,31.5
46,0.3995,1,20,2663.49,31.5
47,0.324,1,20,889.89,31.5
48,0.3224,1,20,907.5,31.4
49,0.3784,1,20,392.82,31.4
50,0.3142,1,20,32.22,31.4
51,0.3446,1,20,1880.19,31.3
52,0.3778,1,20,2620.08,31.3
53,0.3908,1,20,3665.91,31.3
54,0.335,1,20,1884.46,31.4
55,0.4109,1,20,1659.61,31.4
56,0.4498,1,20,2652.8,31.4
57,0.408,1,20,3179.36,31.3
58,0.3672,1,20,3192.2,31.3
59,0.386,1,20,2631.04,31.3
60,0.4783,1,20,1600.78,31.3
61,0.3451,1,20,2274.55,31.3
62,0.3973,1,20,2819.27,31.3
63,0.4341,1,20,3485.3,31.3
64,0.3862,1,20,2824.8,31.3
65,0.4257,1,20,5623.29,31.3
66,0.4826,1,20,2773.35,31.3
67,0.377,1,20,2099.83,31.3
68,0.371,1,20,3489.46,31.3
69,0.3333,1,20,818.12,31.3
70,0.4118,1,20,3931.34,31.3
71,0.3883,1,20,3089.0,31.3
72,0.3548,1,20,2116.58,31.3
73,0.3673,1,20,4515.7,31.2
74,0.4114,1,20,9753.63,31.4
75,0.3406,1,20,2649.04,31.4
76,0.6353,1,20,2828.97,31.5
77,0.43,1,20,1333.16,31.5
78,0.3649,1,20,2277.6,31.5
79,0.3967,1,20,3106.1,31.3
80,0.4065,1,20,4640.21,31.3
81,0.4197,1,20,1733.76,31.3
82,0.431,1,20,2946.82,31.2
83,0.4337,1,20,2639.98,31.2
84,0.4284,1,20,3550.41,31.3
85,0.3872,1,20,2543.45,31.3
86,0.4211,1,20,2394.91,31.3
87,0.367,1,20,4001.58,31.2
88,0.3398,1,20,1349.28,31.2
89,0.3715,1,20,2616.14,31.2
90,0.3552,1,20,2299.23,31.2
91,0.4091,1,20,3214.44,31.2
92,0.3396,1,20,1944.48,31.2
93,0.3634,1,20,3580.65,31.2
94,0.3845,1,20,3974.1,31.2
95,0.3814,1,20,5833.83,31.2
96,0.4211,1,20,1944.5,31.2
97,0.3699,1,20,3345.2,31.2
98,0.333,1,20,2344.1,31.2
99,0.3844,1,20,3239.3,31.2
100,0.3675,1,20,2266.34,31.2
101,0.3392,1,20,2413.56,31.2
102,0.3695,1,20,1233.76,31.2
103,0.355,1,20,2321.61,31.2
104,0.3306,1,20,1772.49,31.1
105,0.3805,1,20,2856.89,31.1
106,0.3919,1,20,3276.95,31.1
107,0.3739,1,20,3288.75,31.2
108,0.3979,1,20,4308.68,31.2
109,0.3987,1,20,2597.2,31.2
110,0.3763,1,20,2770.82,31.2
111,0.3575,1,20,2501.74,31.2
112,0.5258,1,20,4366.23,31.2
113,0.4567,1,20,2019.48,31.2
114,0.3749,1,20,2882.33,31.2
115,0.3468,1,20,1900.24,31.2
116,0.367,1,20,2793.97,31.2
117,0.4093,1,20,3249.7,31.2
118,0.3889,1,20,3682.2,31.1
119,0.3441,1,20,1679.84,31.1
120,0.4031,1,20,3544.25,31.2
121,0.3675,1,20,3388.69,31.2
122,0.4656,1,20,3034.69,31.2
123,0.3785,1,20,4774.86,31.1
124,0.4823,1,20,2255.11,31.1
125,0.3637,1,20,2241.58,31.1
126,0.3557,1,20,2193.17,31.1
127,0.3886,1,20,472.48,31.1
128,0.3786,1,20,3141.77,31.1
129,0.336,1,20,1364.06,31.1
130,0.3915,1,20,3229.1,31.1
131,0.4802,1,23,14.56,35.8
132,0.4989,1,23,16.9,35.8
133,0.4717,1,23,14.03,35.8
134,0.5882,1,23,13.89,35.8
135,0.4612,1,23,14.43,35.8
136,0.4483,1,23,14.93,35.8
137,0.5289,1,23,15.33,35.8
138,0.4901,1,23,15.99,35.8
139,0.4472,1,23,16.07,35.8
140,0.5339,1,23,15.13,35.8
141,0.4784,1,23,14.41,35.9
142,0.4524,1,23,15.18,35.9
143,0.4622,1,23,15.2,35.9
144,0.4741,1,23,15.47,35.7
145,0.4757,1,23,14.98,35.7
146,0.4621,1,23,14.18,35.7
147,0.4608,1,23,14.96,35.7
148,0.4763,1,23,16.9,35.7
149,0.4823,1,23,16.68,35.8
150,0.4593,1,23,15.03,35.8
151,0.4626,1,23,13.91,35.8
152,0.5006,1,23,14.31,35.8
153,0.6137,1,23,17.41,35.8
154,0.4944,1,23,15.11,35.8
155,0.5105,1,23,14.64,35.8
156,0.476,1,23,14.5,35.8
157,0.5042,1,23,13.91,35.8
158,0.4483,1,23,15.57,35.7
159,0.4633,1,23,14.93,35.7
160,0.47,1,23,12.84,35.7
161,0.5482,1,23,16.3,35.7
162,0.5701,1,23,63.58,35.7
163,0.6265,1,23,48.15,35.9
164,0.7445,1,23,14.35,35.9
165,0.7514,1,23,12.87,35.9
166,0.7556,1,23,14.55,35.8
167,0.7349,1,23,13.37,35.8
168,0.7882,1,23,42.96,35.8
169,0.8672,1,23,18.14,35.9
170,0.8268,1,23,14.25,35.9
171,0.8689,1,23,14.16,35.9
172,0.8457,1,23,14.4,35.9
173,0.8479,1,23,14.08,35.9
174,0.9243,1,23,15.16,35.9
175,0.9087,1,23,42.12,35.9
176,0.918,1,23,14.27,35.9
177,0.9268,1,23,19.27,35.9
178,0.9186,1,23,10.16,35.9
179,0.9251,1,23,15.23,35.9
180,0.9206,1,23,14.73,35.9
181,0.9251,1,23,21.12,35.9
182,0.9372,1,23,15.48,35.9
183,0.943,1,23,16.15,36.0
184,0.932,1,23,14.74,36.0
185,0.9305,1,23,14.54,36.0
186,0.9262,1,23,14.54,36.0
187,0.9412,1,23,16.41,36.0
188,0.9172,1,23,14.41,35.9
189,0.9377,1,23,20.64,35.9
190,0.9869,1,23,11.16,35.9
191,0.9267,1,23,14.84,35.9
192,0.9283,1,23,16.89,35.9
193,0.9295,1,23,12.79,35.9
194,0.9237,1,23,20.05,35.9
195,0.9244,1,23,16.4,35.9
196,0.9258,1,23,21.92,35.9
197,0.9532,1,23,17.19,35.9
198,0.9638,1,23,14.16,35.9
199,0.918,1,23,13.39,36.0
200,0.9199,1,23,19.05,36.0
201,0.9206,1,23,10.64,36.0
202,0.9186,1,23,14.61,35.9
203,0.9259,1,23,15.04,35.9
204,0.9189,1,23,16.16,35.9
205,0.9155,1,23,14.99,35.9
206,0.9165,1,23,12.99,35.9
207,0.9359,1,23,13.11,35.9
208,0.9134,1,23,18.59,36.0
209,0.9124,1,23,15.56,36.0
210,0.9212,1,23,10.49,36.0
211,0.9198,1,23,15.35,36.0
212,0.9364,1,23,19.41,36.0
213,0.9153,1,23,14.61,35.9
214,0.923,1,23,14.17,35.9
215,0.9605,1,23,12.72,35.9
216,0.9836,1,23,14.69,36.0
217,0.9711,1,23,14.04,36.0
218,0.9697,1,23,14.56,36.0
219,0.9309,1,23,14.41,35.9
220,0.9345,1,23,14.68,35.9
221,0.9312,1,23,14.91,35.9
222,0.9234,1,23,14.3,36.0
223,0.9366,1,23,16.47,36.0
224,0.9474,1,23,14.79,36.2
225,0.9413,1,23,14.13,36.2
226,0.9805,1,23,14.92,36.2
227,0.9508,1,23,16.65,36.0
228,0.9836,1,23,14.26,36.0
229,0.984,1,23,14.85,36.0
230,0.9841,1,23,14.5,36.0
231,0.9818,1,23,14.59,36.0
232,0.9978,1,23,14.88,36.0
233,0.9925,1,23,13.9,36.0
234,0.99,1,23,16.39,36.0
