time_s,cpu,s_on,br,net_kbps,temp_c
0,0.3371,1,12,14.8,33.5
1,0.4302,1,12,14.92,33.5
2,0.4419,1,12,14.33,33.5
3,0.5256,1,12,28.89,33.5
4,0.2399,1,12,86.02,33.5
5,0.4214,1,12,18.61,33.5
6,0.4044,1,12,19.74,33.6
7,0.2131,1,12,14.76,33.6
8,0.3902,1,12,16.66,33.6
9,0.2654,1,12,15.56,33.6
10,0.4931,1,12,219.24,33.6
11,0.4314,1,12,17.54,33.6
12,0.4189,1,12,399.0,33.7
13,0.3894,1,12,145.01,33.7
14,0.4748,1,12,206.5,33.7
15,0.3341,1,12,562.21,33.7
16,0.359,1,12,157.59,33.7
17,0.323,1,12,19.69,33.6
18,0.3343,1,12,201.12,33.6
19,0.1228,1,12,13.98,33.6
20,0.2728,1,12,16.98,33.6
21,0.4279,1,12,22.13,33.6
22,0.2341,1,12,24.74,33.6
23,0.4408,1,12,16.49,33.6
24,0.3584,1,12,17.16,33.6
25,0.4218,1,12,38.25,33.8
26,0.3377,1,12,109.54,33.8
27,0.2937,1,12,379.47,33.8
28,0.4489,1,12,144.09,33.8
29,0.4623,1,12,21.97,33.8
30,0.2892,1,12,372.85,33.8
31,0.3259,1,12,834.72,33.6
32,0.4519,1,12,48.67,33.6
33,0.4845,1,12,224.58,33.6
34,0.4191,1,12,385.05,33.7
35,0.4974,1,20,14.87,34.5
36,0.3705,1,20,13.59,34.4
37,0.4428,1,20,23.18,34.4
38,0.4615,1,20,32.57,34.4
39,0.4115,1,20,14.73,34.4
40,0.3162,1,20,14.33,34.4
41,0.3751,1,20,18.94,34.4
42,0.5811,1,20,25.75,34.6
43,0.3016,1,20,15.92,34.6
44,0.3153,1,20,14.67,34.6
45,0.2835,1,20,14.09,34.4
46,0.317,1,20,14.61,34.4
47,0.2721,1,20,20.11,34.4
48,0.3146,1,20,20.75,34.4
49,0.4089,1,20,15.66,34.4
50,0.3583,1,20,21.04,34.4
51,0.3256,1,20,14.77,34.4
52,0.3093,1,20,14.85,34.4
53,0.3265,1,20,15.65,34.4
54,0.3408,1,20,18.56,34.4
55,0.3374,1,20,16.94,34.4
56,0.3293,1,20,20.44,34.3
57,0.3071,1,20,13.66,34.3
58,0.3238,1,20,14.81,34.3
59,0.3225,1,20,14.08,34.3
60,0.3244,1,20,15.09,34.3
61,0.3328,1,20,21.1,34.3
62,0.3143,1,20,21.41,34.3
63,0.3097,1,20,14.93,34.3
64,0.3154,1,20,14.83,34.3
65,0.3155,1,20,26.17,34.3
66,0.3168,1,20,15.22,34.3
67,0.3491,1,20,41.85,34.3
68,0.3192,1,20,19.31,34.3
69,0.3097,1,20,14.78,34.3
70,0.3289,1,20,21.33,34.2
71,0.3044,1,20,15.45,34.2
72,0.3195,1,20,14.29,34.1
73,0.3358,1,20,14.66,34.1
74,0.3205,1,20,21.75,34.1
75,0.3127,1,20,15.02,34.1
76,0.3235,1,20,14.58,34.1
77,0.3509,1,20,14.7,34.1
78,0.3503,1,20,30.54,34.0
79,0.3154,1,20,14.94,34.0
80,0.3268,1,20,19.78,34.0
81,0.313,1,20,20.76,33.9
82,0.346,1,20,14.82,33.9
83,0.3262,1,20,14.55,33.9
84,0.3403,1,20,14.33,34.0
85,0.3118,1,20,14.0,34.0
86,0.3246,1,20,19.86,33.9
87,0.3443,1,20,14.89,33.9
88,0.3288,1,20,14.21,33.9
89,0.3303,1,20,15.05,33.9
90,0.3134,1,20,27.63,33.9
91,0.3232,1,20,14.69,33.9
92,0.3235,1,20,14.09,33.8
93,0.3211,1,20,13.33,33.8
94,0.3485,1,20,14.84,33.8
95,0.3139,1,20,19.11,33.7
96,0.3539,1,20,16.8,33.7
97,0.3418,1,20,17.89,33.8
98,0.3313,1,20,17.39,33.8
99,0.3165,1,20,20.64,33.8
100,0.3169,1,20,14.53,33.7
101,0.3399,1,20,20.87,33.7
102,0.3023,1,20,14.52,33.7
103,0.3242,1,20,14.57,33.6
104,0.3237,1,20,13.64,33.6
105,0.3121,1,20,14.94,33.6
106,0.3248,1,20,19.41,33.5
107,0.334,1,20,21.19,33.5
108,0.3216,1,20,17.1,33.5
109,0.3093,1,20,15.39,33.5
110,0.3213,1,20,14.03,33.5
111,0.3888,1,20,19.38,33.6
112,0.3387,1,20,14.64,33.6
113,0.3543,1,20,14.5,33.6
114,0.313,1,20,14.93,33.4
115,0.3065,1,20,14.18,33.4
116,0.3249,1,20,19.03,33.4
117,0.3428,1,20,20.56,33.4
118,0.3183,1,20,16.43,33.4
119,0.3372,1,20,14.44,33.4
120,0.316,1,20,14.42,33.4
121,0.309,1,20,13.71,33.4
122,0.3417,1,20,25.31,33.3
123,0.3294,1,20,15.39,33.3
124,0.3124,1,20,14.69,33.3
125,0.3358,1,20,14.43,33.3
126,0.3221,1,20,19.54,33.3
127,0.3254,1,20,19.68,33.3
128,0.3193,1,20,14.21,33.3
129,0.3084,1,20,14.77,33.3
130,0.3174,1,20,14.18,33.3
131,0.3268,1,20,18.11,33.2
132,0.3304,1,20,16.61,33.2
133,0.3189,1,20,19.47,33.2
134,0.3395,1,20,15.28,33.2
135,0.3156,1,20,17.36,33.2
136,0.3215,1,20,22.57,33.1
137,0.3252,1,20,14.28,33.1
138,0.3075,1,20,14.39,33.1
139,0.321,1,20,19.48,33.1
140,0.3167,1,20,15.02,33.1
141,0.3063,1,20,17.54,33.1
142,0.3127,1,20,15.23,33.1
143,0.3354,1,20,14.27,33.1
144,0.327,1,20,14.42,33.1
145,0.3301,1,20,20.75,33.0
146,0.3167,1,20,13.61,33.0
147,0.3124,1,20,18.77,33.0
148,0.3051,1,20,16.43,33.0
149,0.366,1,20,27.14,33.0
150,0.3328,1,20,14.92,33.0
151,0.3117,1,20,14.28,33.0
152,0.3189,1,20,21.37,33.0
153,0.3257,1,20,13.71,32.9
154,0.3222,1,20,20.03,32.9
155,0.3062,1,20,14.88,32.9
156,0.3247,1,20,15.22,32.9
157,0.3453,1,20,31.12,32.9
158,0.353,1,20,16.41,32.9
159,0.3157,1,20,14.7,32.8
160,0.3111,1,20,13.64,32.8
161,0.3396,1,20,12.38,32.8
162,0.3232,1,20,18.73,32.8
163,0.3218,1,20,23.5,32.8
164,0.3266,1,20,18.67,32.8
165,0.3365,1,20,14.28,32.8
166,0.3581,1,20,14.5,32.8
167,0.3544,1,20,20.57,32.8
168,0.3178,1,20,14.89,32.8
169,0.3095,1,20,14.73,32.8
170,0.3017,1,20,14.7,32.7
171,0.3587,1,20,14.09,32.7
172,0.4072,1,20,20.9,32.7
173,0.3109,1,20,23.55,32.6
174,0.3167,1,20,15.68,32.6
175,0.316,1,20,14.52,32.6
176,0.3124,1,20,13.37,32.6
177,0.317,1,20,18.87,32.6
178,0.3099,1,20,16.28,32.6
179,0.3788,1,20,14.52,32.6
180,0.3196,1,20,14.47,32.6
181,0.3444,1,20,17.33,32.6
182,0.3108,1,20,22.92,32.6
183,0.3098,1,20,19.68,32.6
184,0.3142,1,20,21.16,32.6
185,0.2999,1,20,15.77,32.6
186,0.3499,1,20,14.9,32.6
187,0.3185,1,20,17.33,32.5
188,0.3209,1,20,14.39,32.5
189,0.3399,1,20,20.15,32.5
190,0.3149,1,20,13.71,32.5
191,0.3133,1,20,14.7,32.5
192,0.3047,1,20,13.54,32.5
193,0.3583,1,20,1224.39,32.5
194,0.3725,1,20,1443.99,32.5
195,0.386,1,20,2088.65,32.4
196,0.4102,1,20,2118.65,32.4
197,0.3497,1,20,643.75,32.4
198,0.3147,1,20,14.42,32.4
199,0.3236,1,20,14.79,32.4
200,0.3107,1,20,13.68,32.4
201,0.3121,1,20,13.76,32.4
202,0.334,1,20,18.96,32.4
203,0.3538,1,20,1601.02,32.4
204,0.399,1,20,1647.78,32.4
205,0.3872,1,20,2368.32,32.4
206,0.3739,1,20,1527.42,32.3
207,0.3362,1,20,208.42,32.3
208,0.3803,1,20,1829.46,32.3
209,0.3474,1,20,1475.1,32.3
210,0.355,1,20,609.44,32.3
211,0.3472,1,20,15.17,32.3
212,0.3166,1,20,14.58,32.3
213,0.3091,1,20,14.64,32.3
214,0.3359,1,20,87.34,32.2
215,0.3378,1,20,945.07,32.2
216,0.36,1,20,980.56,32.2
217,0.3754,1,20,1041.92,32.3
218,0.3532,1,20,532.36,32.3
219,0.3267,1,20,13.58,32.3
220,0.3072,1,20,15.09,32.1
221,0.3486,1,20,13.6,32.1
222,0.3303,1,20,14.26,32.1
223,0.3374,1,20,262.39,32.1
224,0.3672,1,20,1310.73,32.1
225,0.3976,1,20,1327.61,32.1
226,0.3687,1,20,1207.52,32.1
227,0.3991,1,20,1441.99,32.1
228,0.3741,1,20,1312.28,32.0
229,0.3356,1,20,271.19,32.0
230,0.3265,1,20,26.03,32.0
231,0.3364,1,20,327.8,32.0
232,0.3685,1,20,1450.49,32.0
233,0.4153,1,20,1566.22,32.0
234,0.3778,1,20,1109.93,32.0
235,0.3681,1,20,1273.33,32.0
236,0.3463,1,20,373.82,32.0
237,0.3102,1,20,15.18,31.9
238,0.3146,1,20,14.1,31.9
239,0.317,1,20,14.4,31.9
240,0.3199,1,20,14.59,31.9
241,0.3232,1,20,18.73,31.9
242,0.384,1,20,837.04,31.9
243,0.3668,1,20,1224.3,31.9
244,0.3763,1,20,1357.01,31.9
245,0.3975,1,20,1513.34,31.8
246,0.3833,1,20,1864.58,31.8
247,0.3988,1,20,1298.95,31.8
248,0.3279,1,20,15.11,31.8
249,0.3245,1,20,14.49,31.8
250,0.3342,1,20,14.16,31.8
251,0.3354,1,20,213.47,31.8
252,0.3187,1,20,541.12,31.8
253,0.3703,1,20,905.7,31.8
254,0.3943,1,20,1472.38,31.8
255,0.376,1,20,988.68,31.8
256,0.3913,1,20,1321.12,31.7
257,0.3521,1,20,892.7,31.7
258,0.3898,1,20,1198.64,31.7
259,0.3247,1,20,13.86,31.7
260,0.3273,1,20,14.05,31.7
261,0.321,1,20,622.03,31.7
262,0.3963,1,20,1823.0,31.7
263,0.3577,1,20,916.75,31.7
264,0.3904,1,20,2308.8,31.7
265,0.3949,1,20,1530.17,31.7
