time_s,cpu,s_on,br,net_kbps,temp_c
0,0.4872,0,0,51.7,0.3000000000000007
1,0.4782,0,0,54.39,0.3999999999999986
2,0.486,0,0,50.64,0.3999999999999986
3,0.4545,0,0,16.06,0.3999999999999986
4,0.1742,0,0,14.92,0.3999999999999986
5,0.1343,0,0,14.46,0.3999999999999986
6,0.1923,0,0,22.6,0.3999999999999986
7,0.1301,0,0,14.93,0.3000000000000007
8,0.1751,0,0,15.04,0.3000000000000007
9,0.1218,0,0,14.5,0.3000000000000007
10,0.1187,0,0,14.72,0.3000000000000007
11,0.1245,0,0,15.9,0.3000000000000007
12,0.1301,0,0,14.57,0.3000000000000007
13,0.132,0,0,14.88,0.3999999999999986
14,0.0967,0,0,13.67,0.3999999999999986
15,0.108,0,0,13.87,0.3000000000000007
16,0.1183,0,0,15.05,0.3000000000000007
17,0.1158,0,0,14.36,0.3000000000000007
18,0.1251,0,0,14.52,0.3000000000000007
19,0.1241,0,0,14.73,0.3000000000000007
20,0.1071,0,0,14.61,0.3000000000000007
21,0.1395,0,0,15.23,0.3000000000000007
22,0.0858,0,0,14.6,0.3000000000000007
23,0.1778,0,0,16.34,0.3000000000000007
24,0.1066,0,0,14.97,0.3000000000000007
25,0.1336,0,0,14.73,0.3000000000000007
26,0.1338,0,0,14.79,0.3000000000000007
27,0.1529,0,0,15.07,0.3000000000000007
28,0.126,0,0,15.03,0.3000000000000007
29,0.1014,0,0,14.93,0.1999999999999993
30,0.1146,0,0,14.98,0.1999999999999993
31,0.1,0,0,14.67,0.1999999999999993
32,0.1315,0,0,15.04,0.1999999999999993
33,0.1614,0,0,15.55,0.1999999999999993
34,0.116,0,0,15.23,0.1999999999999993
35,0.1119,0,0,14.8,0.1999999999999993
36,0.1493,0,0,15.03,0.1999999999999993
37,0.106,0,0,14.77,0.1999999999999993
38,0.1062,0,0,14.4,0.1999999999999993
39,0.1242,0,0,14.78,0.1999999999999993
40,0.1036,0,0,14.82,0.1999999999999993
41,0.109,0,0,14.93,0.1999999999999993
42,0.1104,0,0,14.25,0.1999999999999993
