time_s,cpu,s_on,br,net_kbps,temp_c
0,0.3366,1,12,113.41,33.2
1,0.4594,1,12,271.95,33.2
2,0.3552,1,12,48.97,33.2
3,0.1616,1,12,15.12,33.2
4,0.2974,1,12,17.56,33.3
5,0.3635,1,12,54.93,33.3
6,0.3271,1,12,177.87,33.3
7,0.323,1,12,75.57,33.3
8,0.2004,1,12,42.38,33.3
9,0.187,1,12,18.24,33.2
10,0.3634,1,12,155.26,33.2
11,0.2453,1,12,47.66,33.2
12,0.2154,1,12,16.9,33.2
13,0.4035,1,12,14.78,33.2
14,0.2019,1,12,14.75,33.2
15,0.1674,1,12,13.9,33.2
16,0.2832,1,12,24.96,33.2
17,0.1671,1,12,34.05,33.3
18,0.2896,1,12,20.19,33.3
19,0.4177,1,12,21.83,33.3
20,0.2604,1,12,17.52,33.3
21,0.4124,1,12,14.57,33.3
22,0.3066,1,12,14.45,33.3
23,0.3219,1,12,16.07,33.3
24,0.4507,1,12,222.42,33.3
25,0.3761,1,12,123.1,33.3
26,0.4313,1,12,382.1,33.3
27,0.3249,1,12,15.36,33.3
28,0.34,1,12,18.97,33.3
29,0.3867,1,12,89.62,33.3
30,0.4244,1,12,235.39,33.3
31,0.4175,1,12,309.01,33.3
32,0.4376,1,12,345.59,33.3
33,0.343,1,12,228.28,33.3
34,0.3724,1,12,14.73,33.4
35,0.553,1,12,17.47,33.4
36,0.4086,1,12,16.6,33.4
37,0.3344,1,12,14.44,33.3
38,0.5959,1,12,60.17,33.3
39,0.3947,1,12,79.58,33.3
40,0.4518,1,12,392.85,33.3
41,0.2514,1,12,357.07,33.3
42,0.4336,1,12,117.84,33.3
43,0.2419,1,12,172.0,33.3
44,0.1159,1,12,14.13,33.3
45,0.1678,1,12,40.05,33.3
46,0.3688,1,12,19.7,33.3
47,0.443,1,12,191.08,33.3
48,0.4003,1,12,23.18,33.4
49,0.4639,1,12,53.27,33.4
50,0.3627,1,12,18.02,33.4
51,0.3858,1,12,51.3,33.3
52,0.2035,1,12,21.38,33.3
53,0.3472,1,12,16.59,33.3
54,0.3995,1,12,151.55,33.4
55,0.3935,1,12,53.08,33.4
56,0.4324,1,12,25.31,33.4
57,0.4449,1,12,150.55,33.4
58,0.3307,1,12,15.42,33.4
59,0.4533,1,12,22.52,33.3
60,0.4828,1,12,22.99,33.3
61,0.6498,1,12,175.52,33.3
62,0.7492,1,12,518.42,33.5
63,0.592,1,12,427.6,33.5
64,0.5527,1,12,39.64,33.5
65,0.6312,1,12,1360.94,33.4
66,0.5085,1,12,1440.27,33.4
67,0.3712,1,12,873.44,33.4
68,0.4795,1,12,1844.77,33.4
69,0.4327,1,12,568.64,33.4
70,0.3883,1,12,15.82,33.3
71,0.4659,1,12,28.77,33.3
72,0.4624,1,12,50.64,33.3
73,0.4886,1,12,658.53,33.4
74,0.5081,1,12,1381.91,33.4
75,0.4791,1,12,873.96,33.4
76,0.4612,1,12,1258.75,33.4
77,0.3121,1,12,152.83,33.4
78,0.1763,1,12,350.23,33.4
