time_s,cpu,s_on,br,net_kbps,temp_c
0,0.4214,1,12,18.61,18.5
1,0.4044,1,12,19.74,18.6
2,0.2131,1,12,14.76,18.6
3,0.3902,1,12,16.66,18.6
4,0.2654,1,12,15.56,18.6
5,0.4931,1,12,219.24,18.6
6,0.4314,1,12,17.54,18.6
7,0.4189,1,12,399.0,18.700000000000003
8,0.3894,1,12,145.01,18.700000000000003
9,0.4748,1,12,206.5,18.700000000000003
10,0.3341,1,12,562.21,18.700000000000003
11,0.359,1,12,157.59,18.700000000000003
12,0.323,1,12,19.69,18.6
13,0.3343,1,12,201.12,18.6
14,0.1228,1,12,13.98,18.6
15,0.2728,1,12,16.98,18.6
16,0.4279,1,12,22.13,18.6
17,0.2341,1,12,24.74,18.6
18,0.4408,1,12,16.49,18.6
19,0.3584,1,12,17.16,18.6
20,0.4218,1,12,38.25,18.799999999999997
21,0.3377,1,12,109.54,18.799999999999997
22,0.2937,1,12,379.47,18.799999999999997
23,0.4489,1,12,144.09,18.799999999999997
24,0.4623,1,12,21.97,18.799999999999997
25,0.2892,1,12,372.85,18.799999999999997
26,0.3259,1,12,834.72,18.6
27,0.4519,1,12,48.67,18.6
28,0.4845,1,12,224.58,18.6
29,0.4191,1,12,385.05,18.700000000000003
30,0.3275,1,12,484.75,18.700000000000003
31,0.3954,1,12,456.89,18.700000000000003
32,0.4873,1,12,1604.73,18.700000000000003
33,0.5258,1,12,1571.14,18.700000000000003
34,0.4521,1,12,1681.72,18.799999999999997
35,0.5521,1,12,1965.49,18.799999999999997
36,0.5106,1,12,1280.37,18.799999999999997
37,0.3552,1,12,1331.53,18.700000000000003
38,0.4813,1,12,774.33,18.700000000000003
39,0.4657,1,12,830.21,18.700000000000003
40,0.417,1,12,537.68,18.700000000000003
41,0.3455,1,12,279.95,18.700000000000003
42,0.4179,1,12,476.61,18.700000000000003
43,0.4714,1,12,143.69,18.700000000000003
44,0.3676,1,12,283.15,18.700000000000003
45,0.3968,1,12,774.43,18.700000000000003
46,0.3555,1,12,177.72,18.700000000000003
47,0.3383,1,12,35.48,18.700000000000003
48,0.4677,1,12,27.91,19.1
49,0.5142,1,12,188.83,19.1
50,0.4258,1,12,107.35,19.1
51,0.3026,1,12,23.52,18.799999999999997
52,0.3304,1,12,27.88,18.799999999999997
53,0.2817,1,12,19.66,18.799999999999997
54,0.4559,1,12,414.97,18.799999999999997
55,0.4294,1,12,530.63,18.799999999999997
56,0.4872,0,0,51.7,10.3
57,0.4782,0,0,54.39,10.399999999999999
58,0.486,0,0,50.64,10.399999999999999
59,0.4545,0,0,16.06,10.399999999999999
60,0.1742,0,0,14.92,10.399999999999999
61,0.1343,0,0,14.46,10.399999999999999
62,0.1923,0,0,22.6,10.399999999999999
63,0.1301,0,0,14.93,10.3
64,0.1751,0,0,15.04,10.3
65,0.1218,0,0,14.5,10.3
66,0.1187,0,0,14.72,10.3
67,0.1245,0,0,15.9,10.3
68,0.1301,0,0,14.57,10.3
69,0.132,0,0,14.88,10.399999999999999
70,0.0967,0,0,13.67,10.399999999999999
71,0.108,0,0,13.87,10.3
72,0.1183,0,0,15.05,10.3
73,0.1158,0,0,14.36,10.3
74,0.1251,0,0,14.52,10.3
75,0.1241,0,0,14.73,10.3
76,0.1071,0,0,14.61,10.3
77,0.1395,0,0,15.23,10.3
78,0.0858,0,0,14.6,10.3
79,0.1778,0,0,16.34,10.3
80,0.1066,0,0,14.97,10.3
81,0.1336,0,0,14.73,10.3
82,0.1338,0,0,14.79,10.3
83,0.1529,0,0,15.07,10.3
84,0.126,0,0,15.03,10.3
85,0.1014,0,0,14.93,10.2
86,0.1146,0,0,14.98,10.2
87,0.1,0,0,14.67,10.2
88,0.1315,0,0,15.04,10.2
89,0.1614,0,0,15.55,10.2
90,0.116,0,0,15.23,10.2
91,0.1119,0,0,14.8,10.2
92,0.1493,0,0,15.03,10.2
93,0.106,0,0,14.77,10.2
94,0.1062,0,0,14.4,10.2
95,0.1242,0,0,14.78,10.2
96,0.1036,0,0,14.82,10.2
97,0.109,0,0,14.93,10.2
98,0.1104,0,0,14.25,10.2
99,0.1041,0,0,14.61,10.2
100,0.1442,0,0,15.06,10.2
101,0.1019,0,0,14.83,10.2
102,0.1176,0,0,14.8,10.100000000000001
103,0.1043,0,0,14.72,10.100000000000001
104,0.1332,0,0,15.02,10.100000000000001
105,0.1123,0,0,14.74,10.100000000000001
106,0.1039,0,0,14.85,10.100000000000001
107,0.1368,0,0,14.82,10.100000000000001
108,0.1365,0,0,14.46,10.100000000000001
109,0.1068,0,0,14.76,10.100000000000001
110,0.1187,0,0,14.98,10.100000000000001
111,0.1225,0,0,16.04,10.100000000000001
112,0.1242,0,0,14.65,10.100000000000001
113,0.1049,0,0,14.81,10.100000000000001
114,0.1114,0,0,15.18,10.100000000000001
115,0.0917,0,0,14.67,10.100000000000001
116,0.1249,0,0,14.83,10.0
117,0.0972,0,0,14.86,10.0
118,0.1097,0,0,14.81,10.0
119,0.1091,0,0,14.62,10.0
120,0.103,0,0,14.93,10.0
121,0.101,0,0,14.46,10.100000000000001
122,0.1193,0,0,14.58,10.100000000000001
123,0.1011,0,0,14.8,10.100000000000001
124,0.1387,0,0,14.94,10.0
125,0.1091,0,0,14.93,10.0
126,0.1036,0,0,14.13,10.0
127,0.0956,0,0,15.01,10.0
128,0.1434,0,0,14.91,10.0
129,0.1157,0,0,15.05,10.0
130,0.1106,0,0,14.84,10.0
131,0.1317,0,0,14.82,10.0
132,0.1214,0,0,14.82,10.0
133,0.1132,0,0,15.16,10.0
134,0.1148,0,0,14.66,10.0
135,0.1007,0,0,15.07,10.0
136,0.1176,0,0,15.34,10.0
137,0.0988,0,0,14.83,10.0
138,0.1039,0,0,14.82,10.0
139,0.1215,0,0,14.69,10.0
140,0.1924,0,0,14.71,10.0
141,0.1112,0,0,14.91,9.899999999999999
142,0.1563,0,0,14.93,9.899999999999999
143,0.1136,0,0,14.84,9.899999999999999
144,0.126,0,0,15.05,9.899999999999999
145,0.0991,0,0,15.23,9.899999999999999
146,0.1031,0,0,14.63,9.899999999999999
147,0.1115,0,0,15.73,9.899999999999999
148,0.1012,0,0,14.45,9.899999999999999
149,0.1221,0,0,14.35,9.899999999999999
