time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
1.90,3.731562,1160.0,4.328611919999999,0.4789,1,13,14.73,35.7
2.82,3.736875,1353.125,5.056458984374999,0.4976,1,13,12.18,35.6
3.93,3.726875,1357.812,5.0603955974999995,0.4945,1,13,14.08,35.6
4.84,3.722656,1156.25,4.304321,0.4386,1,13,12.84,35.6
5.76,3.715468,1450.0,5.3874286,0.4932,1,13,12.84,35.5
6.80,3.726093,1123.125,4.184868200625,0.5333,1,13,13.54,35.5
7.84,3.727031,1211.25,4.51436629875,0.5050,1,13,13.80,35.5
8.80,3.723437,1307.187,4.867228441719,0.5329,1,13,13.93,35.5
9.93,3.718593,1231.875,4.580841751875,0.4995,1,13,13.70,35.5
10.83,3.723906,1148.125,4.27550957625,0.5443,1,13,12.90,35.5
12.00,3.729218,985.625,3.6756104912499996,0.4990,1,13,13.33,35.5
12.91,3.734062,879.687,3.2848057985940002,0.4848,1,13,13.61,35.5
13.97,3.713593,1436.25,5.33364794625,0.5139,1,13,13.20,35.8
14.95,3.698125,1427.812,5.2802272525,0.5651,1,13,14.00,35.8
15.87,3.651093,2116.562,7.727764702266,0.6185,1,13,13.67,35.8
16.83,3.686562,1930.937,7.118518968594,0.6143,1,13,13.17,35.7
17.81,3.685937,1775.625,6.544841885625,0.5281,1,13,14.04,35.7
18.96,3.696562,1124.062,4.155164874844,0.4963,1,13,14.19,35.7
20.25,3.704687,1280.312,4.743155222343999,0.5275,1,13,14.99,35.6
20.93,3.715468,1012.5,3.7619113499999997,0.5049,1,13,14.26,35.6
22.07,3.702031,1405.312,5.202508588671999,0.5080,1,13,13.24,35.6
22.91,3.713281,1125.0,4.177441125,0.5178,1,13,14.35,35.6
23.96,3.717187,1141.562,4.243399426094,0.4966,1,13,13.79,35.6
25.11,3.721718,1003.75,3.7356744424999997,0.4711,1,13,13.82,35.6
26.03,3.740468,701.25,2.623003185,0.4181,1,13,13.10,35.6
27.09,3.724843,1175.0,4.376690525,0.4267,1,13,13.45,35.6
28.12,3.728437,731.875,2.7287498293750003,0.4128,1,13,13.55,35.5
29.06,3.735156,835.312,3.120020628672,0.3985,1,13,14.64,35.5
30.34,3.743437,655.312,2.453119187344,0.4220,1,13,14.11,35.5
31.09,3.739843,758.125,2.8352684743750003,0.3941,1,13,13.63,35.4
32.05,3.739375,893.125,3.339729296875,0.4075,1,13,15.70,35.4
33.30,3.744531,654.687,2.451495766797,0.4275,1,13,13.77,35.4
34.04,3.749843,683.75,2.5639551512499996,0.4258,1,13,14.35,35.3
35.16,3.742031,765.312,2.8638212286719997,0.4091,1,13,13.60,35.3
36.07,3.748437,665.937,2.496222890469,0.3992,1,13,14.26,35.3
37.16,3.750937,621.562,2.331439903594,0.4087,1,13,17.62,35.3
38.14,3.746093,630.937,2.363548679141,0.3883,1,13,14.16,35.3
39.14,3.745156,783.125,2.9329252925,0.4059,1,13,14.36,35.3
40.23,3.749375,519.062,1.94615808625,0.4217,1,13,14.15,35.3
41.21,3.743125,605.312,2.2657584799999997,0.3685,1,13,21.15,35.3
42.27,3.748281,777.812,2.9154579411720003,0.3998,1,13,13.47,35.2
43.34,3.737656,643.437,2.404946163672,0.3858,1,13,14.67,35.2
44.16,3.743593,723.125,2.7070856881250003,0.4035,1,13,13.81,35.2
45.49,3.745937,807.5,3.0248441275,0.4122,1,13,13.28,35.1
46.44,3.744687,709.375,2.656387340625,0.4443,1,13,14.22,35.1
47.12,3.72375,1012.812,3.7714586850000003,0.4596,1,13,14.20,35.1
48.25,3.736718,815.0,3.04542517,0.5322,1,13,13.54,35.1
49.31,3.724687,1028.75,3.8317717512500002,0.5322,1,13,13.25,35.1
50.24,3.727656,842.5,3.14055018,0.5160,1,13,14.12,35.1
51.25,3.736875,683.125,2.552752734375,0.4866,1,13,13.89,35.1
52.25,3.732656,839.062,3.131929808672,0.4667,1,13,15.71,35.1
53.29,3.7375,820.625,3.0670859375,0.4675,1,13,13.82,35.0
54.27,3.741406,675.937,2.528954747422,0.4670,1,13,12.92,35.0
55.30,3.738906,762.812,2.8520823636720003,0.4709,1,13,15.82,35.0
56.37,3.739843,678.75,2.5384184362499997,0.5303,1,13,14.37,34.9
57.22,3.720312,1254.687,4.667827102343999,0.5801,1,13,13.94,34.9
58.28,3.733281,906.562,3.3844506899219997,0.5602,1,13,14.10,34.9
59.32,3.732343,831.875,3.104842833125,0.5109,1,13,14.60,34.9
60.27,3.735781,717.5,2.6804228675,0.4815,1,13,14.30,34.9
61.40,3.735312,804.687,3.005757007344,0.4959,1,13,13.11,34.9
