time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
2.36,3.738906,1454.375,5.43777141375,0.4220,1,23,24.67,36.1
3.60,3.76875,873.437,3.29176569375,0.4844,1,23,19.31,36.1
4.27,3.759687,1005.312,3.779658457344,0.4620,1,23,21.62,36.1
5.42,3.763593,890.0,3.3495977700000004,0.4378,1,23,14.20,36.1
6.40,3.774687,835.937,3.155400526719,0.4553,1,23,14.49,36.1
7.34,3.770937,1271.25,4.79380366125,0.4564,1,23,14.65,36.1
8.40,3.766718,1032.187,3.887957352266,0.4657,1,23,14.05,36.1
9.50,3.755625,1115.625,4.189869140625,0.4306,1,23,14.23,36.2
10.35,3.767343,918.125,3.4588917918749997,0.4324,1,23,13.43,36.2
11.39,3.75625,1090.625,4.09666015625,0.4449,1,23,14.21,36.0
12.54,3.76625,952.812,3.588528195,0.4618,1,23,17.09,36.0
13.57,3.774531,790.937,2.985416225547,0.4456,1,23,12.42,36.0
14.50,3.764843,1031.875,3.884847370625,0.4446,1,23,14.48,36.0
15.61,3.767812,839.687,3.163782754844,0.4313,1,23,13.41,36.0
16.44,3.750781,1216.25,4.56188739125,0.4624,1,23,15.71,36.0
17.47,3.76375,927.187,3.4897000712499997,0.4631,1,23,15.59,36.0
18.73,3.76625,830.625,3.1283414062499997,0.4537,1,23,16.10,36.0
19.61,3.772031,918.75,3.4655534812499997,0.4919,1,23,18.18,36.0
20.39,3.774375,663.125,2.502882421875,0.4425,1,23,13.67,36.0
21.84,3.768437,861.562,3.246742118594,0.5183,1,23,26.43,36.0
22.59,3.774062,1196.875,4.5170804562499995,0.4720,1,23,36.37,36.1
23.40,3.774062,710.937,2.683120316094,0.4752,1,23,30.25,36.1
24.53,3.769531,896.562,3.379618252422,0.4742,1,23,36.50,36.1
25.63,3.774062,732.812,2.765677922344,0.4775,1,23,15.80,35.9
26.67,3.771406,815.625,3.07605301875,0.4860,1,23,16.52,35.9
27.56,3.780781,645.937,2.442146336797,0.4709,1,23,13.41,35.9
28.47,3.775312,820.937,3.0992933073440003,0.4709,1,23,14.41,35.9
29.53,3.776093,653.125,2.4662607406249997,0.4670,1,23,14.07,35.9
30.62,3.777343,998.437,3.7714390128910003,0.4507,1,23,17.43,35.9
31.89,3.76375,1003.125,3.7755117187500002,0.6088,1,23,14.74,36.0
32.73,3.770468,614.687,2.317657663516,0.5107,1,23,15.06,36.0
33.61,3.776093,689.375,2.603144111875,0.4697,1,23,14.65,36.0
34.71,3.774218,820.937,3.098395202266,0.4802,1,23,15.72,35.9
35.70,3.779531,650.312,2.457874363672,0.4519,1,23,15.02,35.9
36.55,3.778593,677.187,2.558814057891,0.4563,1,23,13.02,35.9
37.73,3.774375,740.625,2.795396484375,0.4630,1,23,14.03,35.9
38.76,3.773437,752.187,2.8383302567190003,0.4818,1,23,16.18,35.9
39.85,3.762968,930.625,3.5019120950000002,0.4667,1,23,14.62,35.9
40.84,3.78,634.062,2.39675436,0.4610,1,23,14.47,35.9
41.66,3.774375,675.937,2.551239714375,0.4947,1,23,15.34,35.9
42.83,3.775625,694.062,2.6205178387499997,0.5062,1,23,16.37,35.8
43.80,3.780312,567.812,2.1465065173439997,0.4642,1,23,15.46,35.8
44.85,3.77875,636.562,2.4054086574999998,0.4510,1,23,15.38,35.8
46.11,3.755468,1200.0,4.5065615999999995,0.4391,1,23,14.12,35.8
46.74,3.729375,898.125,3.349444921875,0.5087,1,23,11.69,35.8
47.80,3.77625,626.875,2.36723671875,0.4689,1,23,15.66,35.8
48.80,3.75625,1085.312,4.0767032,0.4699,1,23,17.15,35.9
49.92,3.77875,684.375,2.5860820312499997,0.4579,1,23,17.29,35.9
50.75,3.777656,745.0,2.8143537199999997,0.5134,1,23,14.75,35.9
51.88,3.774062,769.375,2.90366895125,0.5115,1,23,13.95,35.9
52.86,3.760781,1142.5,4.2966922925,0.4725,1,23,13.14,35.9
53.83,3.760312,720.937,2.710948052344,0.4651,1,23,15.19,35.9
54.85,3.747656,626.875,2.349311855,0.4750,1,23,18.09,35.9
56.03,3.758593,1078.437,4.0534057591409995,0.4653,1,23,15.15,35.9
57.11,3.740468,1540.937,5.7638255385159995,0.4684,1,23,14.55,35.8
57.91,3.777343,682.812,2.579215128516,0.4802,1,23,14.56,35.8
58.95,3.750781,1245.625,4.672066583125,0.4989,1,23,16.90,35.8
59.95,3.759375,946.25,3.55730859375,0.4717,1,23,14.03,35.8
60.87,3.752656,1124.062,4.218218008671999,0.5882,1,23,13.89,35.8
62.01,3.760312,922.812,3.4700610373439997,0.4612,1,23,14.43,35.8
63.18,3.759531,1035.937,3.8946372655469994,0.4483,1,23,14.93,35.8
64.06,3.735156,1481.562,5.533865193671999,0.5289,1,23,15.33,35.8
65.03,3.760468,989.062,3.719336001016,0.4901,1,23,15.99,35.8
66.10,3.761718,991.25,3.7288029675,0.4472,1,23,16.07,35.8
67.04,3.76,1009.687,3.7964231199999996,0.5339,1,23,15.13,35.8
67.99,3.752656,1072.187,4.023548978672,0.4784,1,23,14.41,35.9
68.98,3.762656,933.125,3.5110283799999995,0.4524,1,23,15.18,35.9
70.04,3.755312,1032.5,3.87735964,0.4622,1,23,15.20,35.9
71.09,3.760937,540.312,2.0320793923440004,0.4741,1,23,15.47,35.7
72.09,3.7425,1124.062,4.206802035,0.4757,1,23,14.98,35.7
73.08,3.75375,1581.562,5.9367883575,0.4621,1,23,14.18,35.7
74.10,3.730312,1425.625,5.318026045,0.4608,1,23,14.96,35.7
75.16,3.76375,927.187,3.4897000712499997,0.4763,1,23,16.90,35.7
76.05,3.748437,1116.562,4.185362313593999,0.4823,1,23,16.68,35.8
77.26,3.755468,1146.562,4.305876901015999,0.4593,1,23,15.03,35.8
78.13,3.758906,1099.062,4.131270746172,0.4626,1,23,13.91,35.8
79.11,3.757656,962.812,3.6179162886719998,0.5006,1,23,14.31,35.8
80.24,3.708906,1969.062,7.303065866171999,0.6137,1,23,17.41,35.8
81.22,3.750781,1493.75,5.602729118749999,0.4944,1,23,15.11,35.8
82.19,3.733125,1345.625,5.023386328125,0.5105,1,23,14.64,35.8
83.31,3.752343,942.812,3.537754008516,0.4760,1,23,14.50,35.8
84.12,3.735156,1618.125,6.0439493025,0.5042,1,23,13.91,35.8
85.17,3.757343,870.625,3.271236749375,0.4483,1,23,15.57,35.7
86.22,3.758281,971.875,3.6525793468750005,0.4633,1,23,14.93,35.7
87.25,3.76625,728.75,2.7446546874999997,0.4700,1,23,12.84,35.7
88.23,3.73,1725.312,6.435413759999999,0.5482,1,23,16.30,35.7
89.20,3.724843,1483.125,5.524407774375,0.5701,1,23,63.58,35.7
90.40,3.725625,1822.187,6.7887854418749995,0.6265,1,23,48.15,35.9
91.29,3.716718,1675.937,6.228985214765999,0.7445,1,23,14.35,35.9
92.32,3.727968,1541.562,5.746893806016,0.7514,1,23,12.87,35.9
93.34,3.725156,1454.062,5.416607783672,0.7556,1,23,14.55,35.8
94.37,3.734375,1317.5,4.9200390625,0.7349,1,23,13.37,35.8
95.53,3.716562,1671.875,6.21362709375,0.7882,1,23,42.96,35.8
96.30,3.713593,1694.375,6.292219139375,0.8672,1,23,18.14,35.9
97.72,3.728281,1534.687,5.721744383047,0.8268,1,23,14.25,35.9
98.31,3.715468,1798.75,6.683198065,0.8689,1,23,14.16,35.9
99.43,3.721718,1658.437,6.172234834766,0.8457,1,23,14.40,35.9
100.40,3.725156,1623.75,6.048722055000001,0.8479,1,23,14.08,35.9
101.43,3.723906,1520.0,5.66033712,0.9243,1,23,15.16,35.9
102.29,3.728281,1446.25,5.39202639625,0.9087,1,23,42.12,35.9
103.48,3.728906,1406.875,5.24610462875,0.9180,1,23,14.27,35.9
104.40,3.722031,1582.5,5.8901140575,0.9268,1,23,19.27,35.9
105.45,3.720781,1694.687,6.305559190546999,0.9186,1,23,10.16,35.9
106.34,3.722343,1638.125,6.097663126875,0.9251,1,23,15.23,35.9
107.52,3.724218,1448.75,5.3954608275,0.9206,1,23,14.73,35.9
108.53,3.725781,1372.5,5.1136344225000006,0.9251,1,23,21.12,35.9
109.62,3.727187,1445.0,5.385785215,0.9372,1,23,15.48,35.9
110.50,3.724687,1669.062,6.216733533593999,0.9430,1,23,16.15,36.0
111.52,3.720312,1569.062,5.837400187344,0.9320,1,23,14.74,36.0
112.33,3.724218,1458.75,5.4327030075,0.9305,1,23,14.54,36.0
113.41,3.721875,1506.875,5.6084003906249995,0.9262,1,23,14.54,36.0
114.44,3.722656,1577.812,5.873651308672001,0.9412,1,23,16.41,36.0
115.58,3.731875,1420.625,5.301594921875,0.9172,1,23,14.41,35.9
116.63,3.724218,1465.312,5.457141326016,0.9377,1,23,20.64,35.9
117.36,3.729375,1430.625,5.335337109375001,0.9869,1,23,11.16,35.9
118.54,3.72875,1440.937,5.37289383875,0.9267,1,23,14.84,35.9
119.61,3.73125,1484.375,5.53857421875,0.9283,1,23,16.89,35.9
120.48,3.727812,1467.812,5.471727187343999,0.9295,1,23,12.79,35.9
121.59,3.727343,1417.812,5.284671633515999,0.9237,1,23,20.05,35.9
122.59,3.727031,1471.875,5.485723753125001,0.9244,1,23,16.40,35.9
123.58,3.727968,1443.125,5.37992382,0.9258,1,23,21.92,35.9
124.67,3.729531,1345.625,5.018550151875001,0.9532,1,23,17.19,35.9
125.56,3.725312,1514.375,5.64151936,0.9638,1,23,14.16,35.9
126.58,3.724843,1374.062,5.118165222266,0.9180,1,23,13.39,36.0
127.66,3.725312,1476.25,5.49949184,0.9199,1,23,19.05,36.0
128.60,3.727187,1380.0,5.143518059999999,0.9206,1,23,10.64,36.0
129.60,3.729531,1357.5,5.0628383325,0.9186,1,23,14.61,35.9
130.64,3.72625,1425.625,5.31223515625,0.9259,1,23,15.04,35.9
131.75,3.72,1540.937,5.732285640000001,0.9189,1,23,16.16,35.9
132.77,3.731875,1399.062,5.221124501249999,0.9155,1,23,14.99,35.9
133.70,3.72875,1515.937,5.652550088749999,0.9165,1,23,12.99,35.9
134.87,3.730156,1391.25,5.189579535,0.9359,1,23,13.11,35.9
135.71,3.727656,1511.875,5.635749915000001,0.9134,1,23,18.59,36.0
136.96,3.721093,1684.375,6.2677160218750005,0.9124,1,23,15.56,36.0
137.73,3.72375,1459.062,5.433182122499999,0.9212,1,23,10.49,36.0
138.84,3.734687,1317.187,4.919281165469,0.9198,1,23,15.35,36.0
139.74,3.730468,1300.312,4.850772306016,0.9364,1,23,19.41,36.0
140.86,3.732343,1387.812,5.179790403516,0.9153,1,23,14.61,35.9
141.75,3.729531,1337.5,4.9882477125,0.9230,1,23,14.17,35.9
142.91,3.728906,1345.312,5.0165419886719995,0.9605,1,23,12.72,35.9
143.75,3.721718,1530.937,5.697715789766,0.9836,1,23,14.69,36.0
144.69,3.72375,1492.187,5.5565313412499995,0.9711,1,23,14.04,36.0
145.89,3.732343,1397.812,5.217113833516,0.9697,1,23,14.56,36.0
146.82,3.739531,1209.687,4.523662036797,0.9309,1,23,14.41,35.9
147.89,3.737968,1151.25,4.30333566,0.9345,1,23,14.68,35.9
148.90,3.737343,1219.687,4.558388671641,0.9312,1,23,14.91,35.9
149.87,3.736562,1295.625,4.84118314125,0.9234,1,23,14.30,36.0
150.81,3.739375,1186.562,4.437000278749999,0.9366,1,23,16.47,36.0
151.88,3.73875,1223.75,4.5752953125,0.9474,1,23,14.79,36.2
153.28,3.73875,1326.562,4.959683677499999,0.9413,1,23,14.13,36.2
153.94,3.735312,1247.187,4.658632567343999,0.9805,1,23,14.92,36.2
154.93,3.741718,1087.812,4.070285741016,0.9508,1,23,16.65,36.0
155.98,3.733593,1296.562,4.840834807266,0.9836,1,23,14.26,36.0
157.13,3.7325,1323.437,4.9397286025,0.9840,1,23,14.85,36.0
157.89,3.733437,1344.375,5.019139366875001,0.9841,1,23,14.50,36.0
159.03,3.731093,1321.562,4.930870727266,0.9818,1,23,14.59,36.0
160.06,3.73625,1242.187,4.64112117875,0.9978,1,23,14.88,36.0
161.00,3.735312,1271.875,4.75084995,0.9925,1,23,13.90,36.0
162.05,3.736406,1244.687,4.650655974922,0.9900,1,23,16.39,36.0
163.08,3.736406,1285.312,4.802447468672,0.9903,1,23,68.51,36.0
164.08,3.771093,687.812,2.593803018516,0.4663,1,23,16.27,35.9
165.13,3.77125,655.937,2.47370241125,0.2672,1,23,15.10,35.9
166.15,3.778906,526.562,1.989828301172,0.2836,1,23,14.45,35.9
166.94,3.787343,318.75,1.2072155812499998,0.2975,1,23,15.11,35.9
168.03,3.789218,309.687,1.173471554766,0.2857,1,23,14.22,35.9
168.99,3.787812,377.812,1.431080827344,0.2341,1,23,14.25,35.9
170.11,3.781718,453.75,1.7159545425,0.2588,1,23,17.67,35.9
171.08,3.785625,449.687,1.702346349375,0.2338,1,23,15.00,35.9
171.89,3.784062,406.875,1.53964022625,0.2963,1,23,15.98,35.9
173.21,3.778281,603.437,2.2799545517969997,0.3130,1,23,14.98,35.9
174.23,3.780625,556.875,2.105335546875,0.2468,1,23,14.60,35.9
175.13,3.778593,277.812,1.049738478516,0.2771,1,23,15.40,35.9
176.11,3.787031,510.312,1.9325673636719998,0.2423,1,23,14.15,35.9
177.15,3.775156,656.25,2.477446125,0.3472,1,23,14.77,35.9
178.18,3.780625,579.687,2.191579164375,0.3576,1,23,42.73,36.0
179.05,3.772187,702.5,2.6499613675,0.4690,1,23,41.32,36.0
180.20,3.766093,825.0,3.107026725,0.5749,1,23,71.19,36.0
181.17,3.746875,1141.875,4.278462890625,0.7400,1,23,43.01,36.0
182.18,3.74375,1294.062,4.844644612499999,0.8745,1,23,71.15,36.0
183.33,3.743593,1232.5,4.6139783725,0.9625,1,23,42.19,36.1
184.19,3.743906,1247.5,4.6705227350000005,0.9976,1,23,16.64,36.1
185.13,3.743437,1256.25,4.702692731250001,0.9977,1,23,13.58,36.1
186.21,3.742968,1230.0,4.60385064,0.9869,1,23,14.20,36.1
187.27,3.729531,1460.937,5.448609830547,0.9882,1,23,16.30,36.1
188.11,3.722343,1521.25,5.6626142887499995,0.9917,1,23,11.22,36.1
189.16,3.72375,1490.312,5.54954931,0.9836,1,23,18.25,36.2
190.10,3.721406,1611.562,5.997276496172,0.9835,1,23,11.03,36.2
191.21,3.725937,1594.375,5.940540804375001,0.9850,1,23,18.07,36.2
192.19,3.724531,1562.187,5.818413909297,0.9867,1,23,11.69,36.2
193.44,3.720468,1625.312,6.0469212860159995,0.9858,1,23,14.37,36.2
