time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
1.95,3.675625,2692.5,9.8966203125,0.6437,1,12,69.32,32.5
3.03,3.702656,2158.125,7.990794480000001,0.6449,1,12,234.37,32.5
4.04,3.767187,1032.812,3.8907959398439993,0.4553,1,12,137.56,32.5
5.23,3.780468,720.937,2.725479258516,0.4895,1,12,99.14,32.1
6.12,3.774218,787.812,2.973374231016,0.4697,1,12,165.61,32.1
7.20,3.792968,509.062,1.9308558760160002,0.3920,1,12,231.37,32.1
8.20,3.780937,555.937,2.1019627729690002,0.4307,1,12,373.19,32.1
9.33,3.799687,383.125,1.455755081875,0.1961,1,12,25.66,32.1
10.21,3.800468,325.0,1.2351521,0.2029,1,12,13.24,32.0
11.26,3.789375,494.375,1.873372265625,0.3126,1,12,22.89,32.0
12.08,3.774218,840.312,3.171520676016,0.3127,1,12,33.56,32.0
13.37,3.790156,658.75,2.496765265,0.3081,1,12,26.54,32.0
14.16,3.759531,1003.125,3.771279534375,0.5314,1,12,18.62,32.0
15.21,3.755312,901.25,3.38447494,0.5163,1,12,13.83,32.0
16.41,3.786093,484.375,1.8338887968750002,0.2809,1,12,47.02,32.1
17.22,3.737812,1332.5,4.98063449,0.3188,1,12,21.20,32.1
18.11,3.75375,870.625,3.26810859375,0.4703,1,12,77.69,32.1
19.22,3.732968,1440.312,5.376638606015999,0.5745,1,12,66.02,32.2
20.06,3.744218,983.437,3.682202517266,0.6063,1,12,70.04,32.2
21.16,3.771406,587.812,2.216877703672,0.5536,1,12,31.75,32.3
22.21,3.756093,915.0,3.436825095,0.5878,1,12,72.41,32.3
23.28,3.761562,829.687,3.120919091094,0.6345,1,12,16.64,32.3
24.27,3.76625,645.0,2.42923125,0.6014,1,12,15.19,32.2
25.36,3.76625,652.812,2.458653195,0.5356,1,12,17.03,32.2
26.29,3.766875,528.75,1.9917351562500003,0.4341,1,12,35.79,32.2
