time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
2.32,3.721562,486.562,1.810770649844,0.4465,1,20,2761.09,34.4
3.13,3.699375,902.5,3.3386859374999998,0.5330,1,20,1289.91,34.6
4.11,3.702343,805.0,2.980386115,0.5400,1,20,538.37,34.6
5.19,3.674687,1329.687,4.8861835329689995,0.6199,1,20,1504.26,34.6
6.06,3.703125,873.437,3.234446390625,0.6313,1,20,788.67,34.6
7.07,3.70375,783.75,2.9028140624999996,0.6259,1,20,57.45,34.6
8.06,3.704687,667.187,2.4717190054689997,0.6092,1,20,32.27,34.6
9.36,3.68,1094.687,4.02844816,0.6359,1,20,47.00,34.5
10.27,3.716406,503.75,1.8721395225000002,0.4974,1,20,14.87,34.5
11.16,3.714531,498.437,1.851459688047,0.3705,1,20,13.59,34.4
12.12,3.696718,1181.562,4.367901513516,0.4428,1,20,23.18,34.4
13.23,3.708125,630.625,2.338436328125,0.4615,1,20,32.57,34.4
14.20,3.71875,451.562,1.6792461875,0.4115,1,20,14.73,34.4
15.22,3.722656,430.937,1.6042302086720002,0.3162,1,20,14.33,34.4
16.27,3.720468,411.875,1.5323677574999999,0.3751,1,20,18.94,34.4
17.17,3.712343,532.5,1.9768226475,0.5811,1,20,25.75,34.6
18.45,3.72625,314.375,1.17143984375,0.3016,1,20,15.92,34.6
19.28,3.724062,403.125,1.50126249375,0.3153,1,20,14.67,34.6
20.34,3.725937,380.0,1.41585606,0.2835,1,20,14.09,34.4
21.33,3.728125,319.375,1.190669921875,0.3170,1,20,14.61,34.4
22.40,3.728906,320.625,1.19558048625,0.2721,1,20,20.11,34.4
23.41,3.729531,304.375,1.135175998125,0.3146,1,20,20.75,34.4
24.69,3.700312,763.75,2.82611329,0.4089,1,20,15.66,34.4
25.39,3.717187,390.625,1.452026171875,0.3583,1,20,21.04,34.4
26.48,3.722812,353.125,1.3146179875,0.3256,1,20,14.77,34.4
27.48,3.720625,510.625,1.899844140625,0.3093,1,20,14.85,34.4
28.38,3.725312,373.75,1.3923353600000001,0.3265,1,20,15.65,34.4
29.42,3.709218,823.437,3.0543073422659996,0.3408,1,20,18.56,34.4
30.43,3.721093,430.937,1.6035566541410002,0.3374,1,20,16.94,34.4
31.43,3.709062,722.5,2.679797295,0.3293,1,20,20.44,34.3
32.45,3.725625,357.5,1.3319109375,0.3071,1,20,13.66,34.3
33.35,3.725312,423.437,1.5774349373440002,0.3238,1,20,14.81,34.3
34.43,3.720468,585.0,2.17647378,0.3225,1,20,14.08,34.3
35.71,3.725937,372.187,1.386745314219,0.3244,1,20,15.09,34.3
36.44,3.722031,396.562,1.476016057422,0.3328,1,20,21.10,34.3
37.53,3.722656,455.937,1.6972966086720003,0.3143,1,20,21.41,34.3
38.56,3.726562,413.75,1.5418650275,0.3097,1,20,14.93,34.3
39.51,3.727187,393.125,1.465250389375,0.3154,1,20,14.83,34.3
40.53,3.72625,335.0,1.24829375,0.3155,1,20,26.17,34.3
41.55,3.723437,408.437,1.5207894379690001,0.3168,1,20,15.22,34.3
42.59,3.725,490.0,1.82525,0.3491,1,20,41.85,34.3
43.59,3.722812,418.75,1.5589275249999999,0.3192,1,20,19.31,34.3
44.56,3.716562,489.375,1.8187925287500002,0.3097,1,20,14.78,34.3
45.60,3.720312,450.625,1.676465595,0.3289,1,20,21.33,34.2
46.59,3.724531,394.375,1.4688619131249998,0.3044,1,20,15.45,34.2
47.59,3.717187,551.875,2.051422575625,0.3195,1,20,14.29,34.1
48.66,3.723906,452.5,1.685067465,0.3358,1,20,14.66,34.1
49.72,3.725,409.375,1.524921875,0.3205,1,20,21.75,34.1
50.59,3.721718,438.125,1.63057769875,0.3127,1,20,15.02,34.1
51.63,3.717343,545.937,2.029435085391,0.3235,1,20,14.58,34.1
52.61,3.725625,386.875,1.441351171875,0.3509,1,20,14.70,34.1
53.58,3.713437,609.687,2.2640342642189997,0.3503,1,20,30.54,34.0
54.70,3.7225,414.687,1.5436723575000002,0.3154,1,20,14.94,34.0
55.62,3.720625,477.5,1.7765984375,0.3268,1,20,19.78,34.0
56.89,3.721875,410.625,1.528294921875,0.3130,1,20,20.76,33.9
57.65,3.722343,443.437,1.650624612891,0.3460,1,20,14.82,33.9
58.60,3.717656,451.875,1.679915805,0.3262,1,20,14.55,33.9
59.68,3.721093,365.625,1.360524628125,0.3403,1,20,14.33,34.0
60.67,3.725781,387.5,1.4437401375,0.3118,1,20,14.00,34.0
61.79,3.720781,469.687,1.7476024655470002,0.3246,1,20,19.86,33.9
62.68,3.725625,330.937,1.2329471606250002,0.3443,1,20,14.89,33.9
63.86,3.725312,414.062,1.542510137344,0.3288,1,20,14.21,33.9
64.74,3.724218,378.75,1.4105475674999999,0.3303,1,20,15.05,33.9
65.74,3.722968,414.375,1.542704865,0.3134,1,20,27.63,33.9
66.78,3.721562,445.312,1.657256217344,0.3232,1,20,14.69,33.9
67.77,3.722343,424.062,1.578504217266,0.3235,1,20,14.09,33.8
68.71,3.725625,351.25,1.30862578125,0.3211,1,20,13.33,33.8
69.80,3.712031,396.562,1.472050437422,0.3485,1,20,14.84,33.8
70.92,3.724218,400.312,1.490849156016,0.3139,1,20,19.11,33.7
71.78,3.722656,412.187,1.5344304086720002,0.3539,1,20,16.80,33.7
72.77,3.718906,451.562,1.679316631172,0.3418,1,20,17.89,33.8
73.91,3.721406,389.062,1.447857661172,0.3313,1,20,17.39,33.8
74.90,3.719218,456.875,1.69921772375,0.3165,1,20,20.64,33.8
75.92,3.720625,499.375,1.857987109375,0.3169,1,20,14.53,33.7
76.84,3.725937,435.625,1.623111305625,0.3399,1,20,20.87,33.7
77.95,3.721406,486.25,1.8095336675,0.3023,1,20,14.52,33.7
78.88,3.725625,352.187,1.312116691875,0.3242,1,20,14.57,33.6
79.92,3.723125,385.937,1.4368916931250002,0.3237,1,20,13.64,33.6
